word,frequency,year,term,source_pdf
one,30,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
people,30,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
world,20,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
diet,17,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
year,17,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
scientist,16,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
flood,15,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
telegraph,15,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
food,14,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
work,14,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
also,13,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
long,13,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
make,13,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
europe,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
life,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
many,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
need,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
passage,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
plant,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
red,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
since,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
water,12,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
although,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
body,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
central,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
change,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
different,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
first,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
lady,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
new,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
system,11,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
buddha,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
climate,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
day,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
effect,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
human,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
technology,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
time,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
way,10,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
german,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
good,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
know,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
may,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
percent,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
planet,9,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
