word,frequency,year,term,source_pdf,total_tokens,relative_freq
english,44,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.010463733650416172
people,38,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.009036860879904875
spring,29,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.006896551724137931
go,28,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.006658739595719381
next,28,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.006658739595719381
page,28,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.006658739595719381
passage,24,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.005707491082045184
could,23,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.005469678953626635
mouse,23,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.005469678953626635
pole,22,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.005231866825208086
first,20,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0047562425683709865
north,20,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0047562425683709865
year,20,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0047562425683709865
fire,19,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.004518430439952438
question,19,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.004518430439952438
world,19,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.004518430439952438
one,18,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.004280618311533888
since,18,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.004280618311533888
time,18,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.004280618311533888
old,17,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.004042806183115339
used,17,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.004042806183115339
chimp,16,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0038049940546967895
language,16,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0038049940546967895
also,15,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0035671819262782403
society,15,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0035671819262782403
word,15,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0035671819262782403
extinguisher,14,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0033293697978596906
life,14,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0033293697978596906
make,14,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0033293697978596906
new,14,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0033293697978596906
expedition,13,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0030915576694411414
learn,13,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0030915576694411414
plant,13,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0030915576694411414
best,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002853745541022592
car,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002853745541022592
heat,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002853745541022592
increase,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002853745541022592
many,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002853745541022592
reach,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002853745541022592
small,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002853745541022592
although,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
better,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
blood,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
body,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
city,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
even,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
grow,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
population,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
test,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
use,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002615933412604043
choose,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0023781212841854932
cook,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0023781212841854932
earth,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0023781212841854932
foreign,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0023781212841854932
group,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0023781212841854932
help,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0023781212841854932
may,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0023781212841854932
number,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0023781212841854932
peary,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0023781212841854932
began,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002140309155766944
device,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002140309155766944
feel,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002140309155766944
good,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002140309155766944
past,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002140309155766944
state,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002140309155766944
take,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002140309155766944
young,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.002140309155766944
air,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
animal,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
characteristic,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
difference,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
get,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
hippocampus,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
invention,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
italian,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
like,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
memory,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
must,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
person,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
quickly,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
rome,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
similar,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
using,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
way,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0019024970273483948
according,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
actually,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
area,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
automobile,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
bacteria,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
become,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
camera,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
capability,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
century,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
data,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
disparity,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
evidence,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
extinction,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
given,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
godfrey,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
inequality,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
knowledge,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
mental,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
move,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
much,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
power,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
problem,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
spread,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
student,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
sun,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
taken,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
three,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.0016646848989298453
age,6,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.001426872770511296
answer,6,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.001426872770511296
antibiotic,6,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.001426872770511296
available,6,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.001426872770511296
became,6,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.001426872770511296
bone,6,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.001426872770511296
book,6,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf,4205,0.001426872770511296
