word,frequency,year,term,source_pdf
child,41,2019,Yds2,2019_YDS2_Ingilizce.pdf
english,33,2019,Yds2,2019_YDS2_Ingilizce.pdf
people,32,2019,Yds2,2019_YDS2_Ingilizce.pdf
go,31,2019,Yds2,2019_YDS2_Ingilizce.pdf
life,31,2019,Yds2,2019_YDS2_Ingilizce.pdf
human,30,2019,Yds2,2019_YDS2_Ingilizce.pdf
pay,30,2019,Yds2,2019_YDS2_Ingilizce.pdf
employee,26,2019,Yds2,2019_YDS2_Ingilizce.pdf
next,25,2019,Yds2,2019_YDS2_Ingilizce.pdf
page,25,2019,Yds2,2019_YDS2_Ingilizce.pdf
increase,21,2019,Yds2,2019_YDS2_Ingilizce.pdf
even,20,2019,Yds2,2019_YDS2_Ingilizce.pdf
may,20,2019,Yds2,2019_YDS2_Ingilizce.pdf
one,20,2019,Yds2,2019_YDS2_Ingilizce.pdf
passage,20,2019,Yds2,2019_YDS2_Ingilizce.pdf
could,19,2019,Yds2,2019_YDS2_Ingilizce.pdf
world,19,2019,Yds2,2019_YDS2_Ingilizce.pdf
invention,18,2019,Yds2,2019_YDS2_Ingilizce.pdf
performance,18,2019,Yds2,2019_YDS2_Ingilizce.pdf
time,18,2019,Yds2,2019_YDS2_Ingilizce.pdf
water,18,2019,Yds2,2019_YDS2_Ingilizce.pdf
high,17,2019,Yds2,2019_YDS2_Ingilizce.pdf
might,17,2019,Yds2,2019_YDS2_Ingilizce.pdf
question,17,2019,Yds2,2019_YDS2_Ingilizce.pdf
would,17,2019,Yds2,2019_YDS2_Ingilizce.pdf
change,16,2019,Yds2,2019_YDS2_Ingilizce.pdf
many,16,2019,Yds2,2019_YDS2_Ingilizce.pdf
eye,15,2019,Yds2,2019_YDS2_Ingilizce.pdf
milk,15,2019,Yds2,2019_YDS2_Ingilizce.pdf
new,15,2019,Yds2,2019_YDS2_Ingilizce.pdf
year,15,2019,Yds2,2019_YDS2_Ingilizce.pdf
food,14,2019,Yds2,2019_YDS2_Ingilizce.pdf
labour,14,2019,Yds2,2019_YDS2_Ingilizce.pdf
problem,14,2019,Yds2,2019_YDS2_Ingilizce.pdf
use,14,2019,Yds2,2019_YDS2_Ingilizce.pdf
weight,14,2019,Yds2,2019_YDS2_Ingilizce.pdf
alternative,13,2019,Yds2,2019_YDS2_Ingilizce.pdf
best,13,2019,Yds2,2019_YDS2_Ingilizce.pdf
century,13,2019,Yds2,2019_YDS2_Ingilizce.pdf
individual,13,2019,Yds2,2019_YDS2_Ingilizce.pdf
since,13,2019,Yds2,2019_YDS2_Ingilizce.pdf
system,13,2019,Yds2,2019_YDS2_Ingilizce.pdf
different,12,2019,Yds2,2019_YDS2_Ingilizce.pdf
eating,12,2019,Yds2,2019_YDS2_Ingilizce.pdf
first,12,2019,Yds2,2019_YDS2_Ingilizce.pdf
health,12,2019,Yds2,2019_YDS2_Ingilizce.pdf
much,12,2019,Yds2,2019_YDS2_Ingilizce.pdf
way,12,2019,Yds2,2019_YDS2_Ingilizce.pdf
word,12,2019,Yds2,2019_YDS2_Ingilizce.pdf
city,11,2019,Yds2,2019_YDS2_Ingilizce.pdf
development,11,2019,Yds2,2019_YDS2_Ingilizce.pdf
disorder,11,2019,Yds2,2019_YDS2_Ingilizce.pdf
eyeglass,11,2019,Yds2,2019_YDS2_Ingilizce.pdf
form,11,2019,Yds2,2019_YDS2_Ingilizce.pdf
make,11,2019,Yds2,2019_YDS2_Ingilizce.pdf
often,11,2019,Yds2,2019_YDS2_Ingilizce.pdf
social,11,2019,Yds2,2019_YDS2_Ingilizce.pdf
test,11,2019,Yds2,2019_YDS2_Ingilizce.pdf
also,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
cause,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
choose,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
climate,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
earth,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
fat,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
like,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
number,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
research,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
sleep,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
used,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
well,10,2019,Yds2,2019_YDS2_Ingilizce.pdf
according,9,2019,Yds2,2019_YDS2_Ingilizce.pdf
ancient,9,2019,Yds2,2019_YDS2_Ingilizce.pdf
around,9,2019,Yds2,2019_YDS2_Ingilizce.pdf
