word,frequency,year,term,source_pdf,total_tokens,relative_freq
english,28,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.040756914119359534
go,24,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.034934497816593885
next,24,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.034934497816593885
page,24,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.034934497816593885
question,16,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.023289665211062592
choose,10,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.01455604075691412
flesh,10,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.01455604075691412
passage,9,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.013100436681222707
best,8,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.011644832605531296
chicken,7,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.010189228529839884
protein,7,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.010189228529839884
year,7,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.010189228529839884
according,6,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.008733624454148471
animal,6,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.008733624454148471
answer,6,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.008733624454148471
caterpillar,6,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.008733624454148471
different,6,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.008733624454148471
end,6,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.008733624454148471
new,6,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.008733624454148471
communicate,5,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.00727802037845706
environment,5,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.00727802037845706
help,5,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.00727802037845706
idea,5,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.00727802037845706
multinational,5,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.00727802037845706
perspective,5,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.00727802037845706
research,5,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.00727802037845706
sentence,5,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.00727802037845706
also,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
clearly,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
consider,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
eating,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
expression,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
fill,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
one,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
part,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
space,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
state,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
time,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
word,4,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.005822416302765648
amount,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
begin,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
compared,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
complete,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
contains,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
day,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
diet,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
even,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
force,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
high,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
insect,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
insectivorous,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
knowledge,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
many,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
option,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
people,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
physical,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
surprise,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
test,3,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.004366812227074236
accurate,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
almost,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
bill,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
century,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
chinese,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
consists,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
constitute,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
development,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
february,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
festival,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
forced,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
geographical,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
geography,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
get,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
given,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
higher,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
history,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
includes,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
level,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
life,2,2022,Yds1,yds1_ingilizce_tsk_10042022.pdf,687,0.002911208151382824
