word,frequency,year,term,source_pdf,total_tokens,relative_freq
english,28,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.03608247422680412
go,24,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.030927835051546393
next,24,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.030927835051546393
page,24,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.030927835051546393
question,16,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.020618556701030927
ecotourism,12,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.015463917525773196
mushroom,12,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.015463917525773196
choose,10,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.01288659793814433
passage,9,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.011597938144329897
best,8,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.010309278350515464
food,8,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.010309278350515464
according,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
answer,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
consume,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
cuba,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
fat,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
mexico,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
regional,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
sector,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
see,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
sweetener,6,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.007731958762886598
caribbean,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
eventually,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
failure,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
identity,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
liver,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
nature,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
oil,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
opera,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
particular,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
poisonous,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
potential,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
sentence,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
wild,5,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.006443298969072165
appeal,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
calorie,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
death,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
destination,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
established,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
expression,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
fill,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
high,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
online,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
space,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
whole,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
word,4,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.005154639175257732
also,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
amanda,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
arisen,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
certain,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
complete,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
concert,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
data,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
eaten,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
given,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
lead,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
may,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
music,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
one,3,2024,2024 YDS.pdf,2024 YDS.pdf,776,0.003865979381443299
