word,frequency,year,term,source_pdf
english,44,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
people,38,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
spring,29,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
go,28,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
next,28,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
page,28,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
passage,24,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
could,23,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
mouse,23,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
pole,22,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
first,20,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
north,20,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
year,20,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
fire,19,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
question,19,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
world,19,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
one,18,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
since,18,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
time,18,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
old,17,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
used,17,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
chimp,16,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
language,16,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
also,15,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
society,15,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
word,15,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
extinguisher,14,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
life,14,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
make,14,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
new,14,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
expedition,13,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
learn,13,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
plant,13,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
best,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
car,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
heat,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
increase,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
many,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
reach,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
small,12,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
although,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
better,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
blood,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
body,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
city,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
even,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
grow,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
population,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
test,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
use,11,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
choose,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
cook,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
earth,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
foreign,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
group,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
help,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
may,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
number,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
peary,10,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
began,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
device,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
feel,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
good,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
past,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
state,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
take,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
young,9,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
air,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
animal,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
characteristic,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
difference,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
get,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
hippocampus,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
invention,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
italian,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
like,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
memory,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
must,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
person,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
quickly,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
rome,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
similar,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
using,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
way,8,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
according,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
actually,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
area,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
automobile,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
bacteria,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
become,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
camera,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
capability,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
century,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
data,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
disparity,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
evidence,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
extinction,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
given,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
godfrey,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
inequality,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
knowledge,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
mental,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
move,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
much,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
power,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
problem,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
spread,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
student,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
sun,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
taken,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
three,7,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
age,6,2017,Yds_Bahar,2017_YDS_Ilkbahar_Ingilizce.pdf
