word,frequency,year,term,source_pdf
people,44,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
english,30,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
time,28,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
body,26,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
image,22,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
next,22,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
fall,21,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
go,21,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
plant,21,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
page,20,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
question,20,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
used,20,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
scientist,19,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
world,19,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
child,18,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
food,17,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
passage,17,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
study,17,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
could,16,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
socrates,16,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
also,15,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
drug,15,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
field,15,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
young,15,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
one,14,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
trial,14,2017,Yds_Sonbahar,2017_YDS_Sonbahar_Ingilizce.pdf
