word,frequency,year,term,source_pdf
plant,40,2019,Yds1,2019_YDS1_Ingilizce.pdf
english,35,2019,Yds1,2019_YDS1_Ingilizce.pdf
go,32,2019,Yds1,2019_YDS1_Ingilizce.pdf
next,28,2019,Yds1,2019_YDS1_Ingilizce.pdf
page,28,2019,Yds1,2019_YDS1_Ingilizce.pdf
consumer,26,2019,Yds1,2019_YDS1_Ingilizce.pdf
people,26,2019,Yds1,2019_YDS1_Ingilizce.pdf
many,25,2019,Yds1,2019_YDS1_Ingilizce.pdf
need,24,2019,Yds1,2019_YDS1_Ingilizce.pdf
world,24,2019,Yds1,2019_YDS1_Ingilizce.pdf
make,21,2019,Yds1,2019_YDS1_Ingilizce.pdf
passage,21,2019,Yds1,2019_YDS1_Ingilizce.pdf
disease,20,2019,Yds1,2019_YDS1_Ingilizce.pdf
could,19,2019,Yds1,2019_YDS1_Ingilizce.pdf
new,17,2019,Yds1,2019_YDS1_Ingilizce.pdf
one,16,2019,Yds1,2019_YDS1_Ingilizce.pdf
question,16,2019,Yds1,2019_YDS1_Ingilizce.pdf
although,15,2019,Yds1,2019_YDS1_Ingilizce.pdf
gene,15,2019,Yds1,2019_YDS1_Ingilizce.pdf
health,15,2019,Yds1,2019_YDS1_Ingilizce.pdf
used,15,2019,Yds1,2019_YDS1_Ingilizce.pdf
also,14,2019,Yds1,2019_YDS1_Ingilizce.pdf
brain,14,2019,Yds1,2019_YDS1_Ingilizce.pdf
help,14,2019,Yds1,2019_YDS1_Ingilizce.pdf
may,14,2019,Yds1,2019_YDS1_Ingilizce.pdf
person,14,2019,Yds1,2019_YDS1_Ingilizce.pdf
pierce,14,2019,Yds1,2019_YDS1_Ingilizce.pdf
whale,14,2019,Yds1,2019_YDS1_Ingilizce.pdf
best,13,2019,Yds1,2019_YDS1_Ingilizce.pdf
braille,13,2019,Yds1,2019_YDS1_Ingilizce.pdf
child,13,2019,Yds1,2019_YDS1_Ingilizce.pdf
even,13,2019,Yds1,2019_YDS1_Ingilizce.pdf
face,13,2019,Yds1,2019_YDS1_Ingilizce.pdf
information,13,2019,Yds1,2019_YDS1_Ingilizce.pdf
sunlight,13,2019,Yds1,2019_YDS1_Ingilizce.pdf
time,13,2019,Yds1,2019_YDS1_Ingilizce.pdf
year,13,2019,Yds1,2019_YDS1_Ingilizce.pdf
athlete,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
body,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
century,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
energy,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
first,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
individual,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
known,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
lightning,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
performance,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
think,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
understand,12,2019,Yds1,2019_YDS1_Ingilizce.pdf
cake,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
choose,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
period,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
process,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
psychology,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
shortcut,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
specie,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
strike,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
though,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
would,11,2019,Yds1,2019_YDS1_Ingilizce.pdf
ageing,10,2019,Yds1,2019_YDS1_Ingilizce.pdf
become,10,2019,Yds1,2019_YDS1_Ingilizce.pdf
cause,10,2019,Yds1,2019_YDS1_Ingilizce.pdf
europe,10,2019,Yds1,2019_YDS1_Ingilizce.pdf
hour,10,2019,Yds1,2019_YDS1_Ingilizce.pdf
internal,10,2019,Yds1,2019_YDS1_Ingilizce.pdf
life,10,2019,Yds1,2019_YDS1_Ingilizce.pdf
long,10,2019,Yds1,2019_YDS1_Ingilizce.pdf
study,10,2019,Yds1,2019_YDS1_Ingilizce.pdf
cell,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
darkness,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
developed,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
function,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
learning,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
much,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
parent,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
rather,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
record,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
state,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
take,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
use,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
way,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
word,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
yet,9,2019,Yds1,2019_YDS1_Ingilizce.pdf
ability,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
africa,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
damage,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
desire,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
disorder,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
food,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
form,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
get,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
given,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
industry,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
language,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
less,8,2019,Yds1,2019_YDS1_Ingilizce.pdf
